experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,True,['0'],"['0', '1']",204
10_0,10,ldecc,True,"['0', '1']","['0', '1']",105
10_0,10,CMB,True,[],"['0', '1']",442
10_0,10,pc,True,['0'],"['0', '1']",414
10_0,10,MBbyMB,True,[],"['0', '1']",527
10_1,10,locpc,True,"['4', '6']","['4', '6']",109
10_1,10,ldecc,True,"['6', '4']","['4', '6']",24
10_1,10,CMB,True,[],"['4', '6']",144
10_1,10,pc,False,,"['4', '6']",261
10_1,10,MBbyMB,True,[],"['4', '6']",169
10_2,10,locpc,True,"['4', '6']","['4', '6']",85
10_2,10,ldecc,True,"['6', '4', '2']","['4', '6']",34
10_2,10,CMB,True,[],"['4', '6']",138
10_2,10,pc,True,"['4', '6']","['4', '6']",181
10_2,10,MBbyMB,True,[],"['4', '6']",145
10_3,10,locpc,True,"['8', '3', '4']","['3', '4', '8']",121
10_3,10,ldecc,True,"['4', '3', '8', '1']","['3', '4', '8']",68
10_3,10,CMB,True,"['1', '6']","['3', '4', '8']",965
10_3,10,pc,False,,"['3', '4', '8']",234
10_3,10,MBbyMB,True,"['1', '4', '3', '6']","['3', '4', '8']",482
10_4,10,locpc,True,"['8', '3']","['3', '8']",59
10_4,10,ldecc,True,"['3', '8']","['3', '8']",24
10_4,10,CMB,False,,"['3', '8']",298
10_4,10,pc,False,,"['3', '8']",200
10_4,10,MBbyMB,False,,"['3', '8']",233
10_5,10,locpc,True,"['8', '1']","['1', '8']",136
10_5,10,ldecc,True,"['8', '1']","['1', '8']",72
10_5,10,CMB,True,"['1', '9', '2']","['1', '8']",396
10_5,10,pc,False,,"['1', '8']",239
10_5,10,MBbyMB,True,"['1', '8']","['1', '8']",592
10_6,10,locpc,True,"['1', '2', '0']","['0', '1', '2']",183
10_6,10,ldecc,True,"['0', '2', '1']","['0', '1', '2']",40
10_6,10,CMB,True,"['2', '4', '8']","['0', '1', '2']",102
10_6,10,pc,False,,"['0', '1', '2']",398
10_6,10,MBbyMB,True,"['2', '4']","['0', '1', '2']",330
10_7,10,locpc,True,"['5', '4']","['4', '5']",159
10_7,10,ldecc,True,"['4', '5']","['4', '5']",69
10_7,10,CMB,True,[],"['4', '5']",341
10_7,10,pc,False,,"['4', '5']",525
10_7,10,MBbyMB,True,[],"['4', '5']",295
10_8,10,locpc,True,"['6', '5']","['5', '6']",76
10_8,10,ldecc,True,"['6', '5']","['5', '6']",24
10_8,10,CMB,True,"['0', '6']","['5', '6']",24
10_8,10,pc,False,,"['5', '6']",157
10_8,10,MBbyMB,True,"['0', '6']","['5', '6']",104
10_9,10,locpc,True,"['2', '3']","['2', '3']",105
10_9,10,ldecc,True,"['2', '3']","['2', '3']",72
10_9,10,CMB,True,"['5', '8']","['2', '3']",23
10_9,10,pc,False,,"['2', '3']",278
10_9,10,MBbyMB,True,[],"['2', '3']",200
10_10,10,locpc,True,"['8', '6', '2']","['2', '6', '8']",348
10_10,10,ldecc,True,"['6', '2', '8']","['2', '6', '8']",54
10_10,10,CMB,True,"['6', '8']","['2', '6', '8']",2110
10_10,10,pc,False,,"['2', '6', '8']",622
10_10,10,MBbyMB,True,['7'],"['2', '6', '8']",871
10_11,10,locpc,True,"['0', '6', '2']","['0', '2', '5']",407
10_11,10,ldecc,True,"['2', '5', '0']","['0', '2', '5']",213
10_11,10,CMB,True,"['0', '3', '6']","['0', '2', '5']",108
10_11,10,pc,False,,"['0', '2', '5']",683
10_11,10,MBbyMB,True,"['0', '6']","['0', '2', '5']",502
10_12,10,locpc,True,"['4', '8']","['4', '8']",62
10_12,10,ldecc,True,"['4', '8']","['4', '8']",83
10_12,10,CMB,True,['7'],"['4', '8']",373
10_12,10,pc,False,,"['4', '8']",267
10_12,10,MBbyMB,True,"['0', '8']","['4', '8']",200
10_13,10,locpc,True,"['8', '4']","['4', '8']",147
10_13,10,ldecc,True,"['4', '8']","['4', '8']",93
10_13,10,CMB,True,"['4', '8', '3']","['4', '8']",472
10_13,10,pc,False,,"['4', '8']",425
10_13,10,MBbyMB,True,"['4', '8', '3']","['4', '8']",567
10_14,10,locpc,True,"['2', '0']","['0', '2']",113
10_14,10,ldecc,True,"['2', '0']","['0', '2']",98
10_14,10,CMB,True,"['2', '6', '1']","['0', '2']",387
10_14,10,pc,True,"['0', '2']","['0', '2']",291
10_14,10,MBbyMB,True,"['2', '6', '0', '4', '1']","['0', '2']",581
10_15,10,locpc,True,"['8', '2', '4', '3']","['2', '3', '4', '8']",202
10_15,10,ldecc,True,"['4', '2', '8', '3']","['2', '3', '4', '8']",66
10_15,10,CMB,True,[],"['2', '3', '4', '8']",340
10_15,10,pc,True,"['8', '4', '2', '3']","['2', '3', '4', '8']",370
10_15,10,MBbyMB,True,[],"['2', '3', '4', '8']",213
10_16,10,locpc,True,"['2', '9', '4']","['2', '4', '9']",91
10_16,10,ldecc,True,"['9', '4', '2']","['2', '4', '9']",34
10_16,10,CMB,True,"['1', '8', '9', '0']","['2', '4', '9']",201
10_16,10,pc,False,,"['2', '4', '9']",222
10_16,10,MBbyMB,True,"['1', '9']","['2', '4', '9']",457
10_17,10,locpc,True,"['8', '0']","['0', '8']",52
10_17,10,ldecc,True,"['8', '0']","['0', '8']",105
10_17,10,CMB,True,"['0', '2', '8']","['0', '8']",321
10_17,10,pc,False,,"['0', '8']",185
10_17,10,MBbyMB,True,['8'],"['0', '8']",469
10_18,10,locpc,True,"['9', '0']","['0', '9']",179
10_18,10,ldecc,True,"['9', '0']","['0', '9']",37
10_18,10,CMB,True,['6'],"['0', '9']",836
10_18,10,pc,False,,"['0', '9']",471
10_18,10,MBbyMB,True,[],"['0', '9']",258
10_19,10,locpc,True,"['0', '2', '7']","['0', '2', '7']",107
10_19,10,ldecc,False,,"['0', '2', '7']",174
10_19,10,CMB,True,[],"['0', '2', '7']",99
10_19,10,pc,False,,"['0', '2', '7']",236
10_19,10,MBbyMB,True,"['2', '9']","['0', '2', '7']",177
10_20,10,locpc,True,"['1', '9']","['1', '3', '9']",295
10_20,10,ldecc,True,[],"['1', '3', '9']",98
10_20,10,CMB,True,"['3', '9', '4']","['1', '3', '9']",193
10_20,10,pc,False,,"['1', '3', '9']",384
10_20,10,MBbyMB,True,"['3', '9', '4']","['1', '3', '9']",522
10_21,10,locpc,True,"['4', '0', '7']","['0', '4', '7']",177
10_21,10,ldecc,True,"['7', '4', '0']","['0', '4', '7']",72
10_21,10,CMB,True,"['5', '4', '7']","['0', '4', '7']",202
10_21,10,pc,False,,"['0', '4', '7']",343
10_21,10,MBbyMB,True,"['2', '4', '7']","['0', '4', '7']",526
10_22,10,locpc,True,['6'],['6'],96
10_22,10,ldecc,True,['6'],['6'],70
10_22,10,CMB,True,[],['6'],593
10_22,10,pc,False,,['6'],199
10_22,10,MBbyMB,True,[],['6'],426
10_23,10,locpc,True,"['5', '4']","['4', '5']",196
10_23,10,ldecc,True,"['7', '4', '5']","['4', '5']",49
10_23,10,CMB,True,"['9', '0', '2', '6', '1']","['4', '5']",275
10_23,10,pc,False,,"['4', '5']",384
10_23,10,MBbyMB,True,"['2', '6']","['4', '5']",818
10_24,10,locpc,True,"['2', '5', '8']","['2', '5', '8']",56
10_24,10,ldecc,True,"['2', '8', '5']","['2', '5', '8']",41
10_24,10,CMB,True,[],"['2', '5', '8']",9
10_24,10,pc,False,,"['2', '5', '8']",143
10_24,10,MBbyMB,True,[],"['2', '5', '8']",9
10_25,10,locpc,True,"['8', '9']","['8', '9']",67
10_25,10,ldecc,True,"['9', '8']","['8', '9']",24
10_25,10,CMB,True,[],"['8', '9']",312
10_25,10,pc,False,,"['8', '9']",216
10_25,10,MBbyMB,True,[],"['8', '9']",260
10_26,10,locpc,True,[],"['4', '6', '7', '8']",118
10_26,10,ldecc,True,"['6', '3', '8']","['4', '6', '7', '8']",161
10_26,10,CMB,True,"['6', '4', '7']","['4', '6', '7', '8']",183
10_26,10,pc,True,"['3', '8', '6', '5']","['4', '6', '7', '8']",839
10_26,10,MBbyMB,True,"['6', '4', '7']","['4', '6', '7', '8']",696
10_27,10,locpc,True,"['2', '7']","['2', '7']",130
10_27,10,ldecc,True,"['7', '2']","['2', '7']",24
10_27,10,CMB,True,"['5', '8', '0']","['2', '7']",125
10_27,10,pc,False,,"['2', '7']",252
10_27,10,MBbyMB,True,[],"['2', '7']",373
10_28,10,locpc,True,"['6', '0', '8']","['0', '6', '8']",108
10_28,10,ldecc,True,"['6', '8', '0']","['0', '6', '8']",34
10_28,10,CMB,True,['1'],"['0', '6', '8']",352
10_28,10,pc,False,,"['0', '6', '8']",283
10_28,10,MBbyMB,True,[],"['0', '6', '8']",373
10_29,10,locpc,True,"['5', '7']","['5', '7']",191
10_29,10,ldecc,True,"['7', '5']","['5', '7']",90
10_29,10,CMB,True,"['5', '8', '0']","['5', '7']",183
10_29,10,pc,False,,"['5', '7']",322
10_29,10,MBbyMB,True,"['5', '8', '9', '1', '0']","['5', '7']",507
10_30,10,locpc,True,"['6', '0']","['0', '6']",99
10_30,10,ldecc,False,,"['0', '6']",158
10_30,10,CMB,True,['6'],"['0', '6']",416
10_30,10,pc,True,"['0', '6']","['0', '6']",234
10_30,10,MBbyMB,True,[],"['0', '6']",249
10_31,10,locpc,True,[],"['0', '9']",175
10_31,10,ldecc,True,['9'],"['0', '9']",62
10_31,10,CMB,True,['0'],"['0', '9']",171
10_31,10,pc,True,[],"['0', '9']",354
10_31,10,MBbyMB,True,[],"['0', '9']",233
10_32,10,locpc,True,"['0', '1', '5']","['0', '1', '5']",86
10_32,10,ldecc,True,"['1', '5', '0']","['0', '1', '5']",34
10_32,10,CMB,True,"['0', '5', '7']","['0', '1', '5']",45
10_32,10,pc,False,,"['0', '1', '5']",226
10_32,10,MBbyMB,True,['5'],"['0', '1', '5']",346
10_33,10,locpc,True,"['2', '6', '9', '8']","['2', '6', '8']",588
10_33,10,ldecc,True,"['6', '2', '8', '9']","['2', '6', '8']",250
10_33,10,CMB,True,"['2', '6', '3', '9', '4']","['2', '6', '8']",456
10_33,10,pc,True,"['8', '6', '2', '9']","['2', '6', '8']",1057
10_33,10,MBbyMB,True,"['2', '6', '3', '7', '9']","['2', '6', '8']",1597
10_34,10,locpc,True,"['5', '3', '1', '4', '2']","['1', '2', '3', '5']",428
10_34,10,ldecc,True,"['2', '5', '1']","['1', '2', '3', '5']",286
10_34,10,CMB,True,"['7', '2', '6']","['1', '2', '3', '5']",197
10_34,10,pc,True,"['2', '1', '4', '5', '3']","['1', '2', '3', '5']",762
10_34,10,MBbyMB,False,,"['1', '2', '3', '5']",590
10_35,10,locpc,True,"['5', '9', '1', '2']","['0', '1', '2', '3', '5', '9']",337
10_35,10,ldecc,True,"['9', '1']","['0', '1', '2', '3', '5', '9']",218
10_35,10,CMB,True,"['3', '9']","['0', '1', '2', '3', '5', '9']",164
10_35,10,pc,True,"['5', '9', '1', '2']","['0', '1', '2', '3', '5', '9']",594
10_35,10,MBbyMB,True,"['0', '9']","['0', '1', '2', '3', '5', '9']",667
10_36,10,locpc,True,"['5', '9']","['5', '9']",71
10_36,10,ldecc,True,"['9', '5']","['5', '9']",59
10_36,10,CMB,True,['7'],"['5', '9']",181
10_36,10,pc,False,,"['5', '9']",153
10_36,10,MBbyMB,True,[],"['5', '9']",170
10_37,10,locpc,True,"['6', '9']","['6', '9']",435
10_37,10,ldecc,True,"['9', '6']","['6', '9']",73
10_37,10,CMB,True,"['9', '6']","['6', '9']",37
10_37,10,pc,True,"['9', '6']","['6', '9']",927
10_37,10,MBbyMB,True,"['9', '5']","['6', '9']",984
10_38,10,locpc,True,"['9', '3']","['3', '9']",39
10_38,10,ldecc,True,"['9', '3']","['3', '9']",24
10_38,10,CMB,True,[],"['3', '9']",289
10_38,10,pc,False,,"['3', '9']",135
10_38,10,MBbyMB,True,['3'],"['3', '9']",134
10_39,10,locpc,True,"['7', '5', '9', '6']","['5', '6', '7', '9']",100
10_39,10,ldecc,True,"['9', '6', '7', '5']","['5', '6', '7', '9']",71
10_39,10,CMB,True,"['7', '9']","['5', '6', '7', '9']",21
10_39,10,pc,False,,"['5', '6', '7', '9']",169
10_39,10,MBbyMB,True,"['7', '9']","['5', '6', '7', '9']",256
10_40,10,locpc,True,"['3', '0', '7']","['0', '3', '7']",54
10_40,10,ldecc,True,"['7', '3', '0']","['0', '3', '7']",34
10_40,10,CMB,False,,"['0', '3', '7']",22
10_40,10,pc,False,,"['0', '3', '7']",195
10_40,10,MBbyMB,False,,"['0', '3', '7']",42
10_41,10,locpc,True,"['0', '2']","['0', '2']",260
10_41,10,ldecc,True,"['2', '0']","['0', '2']",38
10_41,10,CMB,True,[],"['0', '2']",487
10_41,10,pc,False,,"['0', '2']",576
10_41,10,MBbyMB,True,[],"['0', '2']",714
10_42,10,locpc,True,"['4', '1']","['1', '4']",151
10_42,10,ldecc,True,"['4', '1']","['1', '4']",24
10_42,10,CMB,True,"['4', '1']","['1', '4']",36
10_42,10,pc,True,"['1', '4']","['1', '4']",441
10_42,10,MBbyMB,True,"['4', '9', '1']","['1', '4']",252
10_43,10,locpc,True,"['5', '2', '7']","['2', '5', '7']",59
10_43,10,ldecc,True,"['7', '2', '5']","['2', '5', '7']",49
10_43,10,CMB,True,"['2', '5']","['2', '5', '7']",209
10_43,10,pc,False,,"['2', '5', '7']",205
10_43,10,MBbyMB,True,"['2', '5', '0']","['2', '5', '7']",238
10_44,10,locpc,True,['7'],['7'],107
10_44,10,ldecc,True,[],['7'],39
10_44,10,CMB,True,"['0', '7']",['7'],25
10_44,10,pc,False,,['7'],376
10_44,10,MBbyMB,True,"['0', '7']",['7'],208
10_45,10,locpc,True,"['4', '6']","['4', '6']",280
10_45,10,ldecc,True,"['6', '4']","['4', '6']",49
10_45,10,CMB,True,"['8', '4', '7']","['4', '6']",184
10_45,10,pc,False,,"['4', '6']",906
10_45,10,MBbyMB,True,"['3', '8', '7']","['4', '6']",1051
10_46,10,locpc,True,"['5', '6', '8']","['5', '6', '8']",106
10_46,10,ldecc,True,"['6', '8', '5']","['5', '6', '8']",45
10_46,10,CMB,True,[],"['5', '6', '8']",147
10_46,10,pc,False,,"['5', '6', '8']",286
10_46,10,MBbyMB,True,[],"['5', '6', '8']",159
10_47,10,locpc,True,"['2', '7']","['2', '7']",35
10_47,10,ldecc,True,"['7', '2']","['2', '7']",24
10_47,10,CMB,True,[],"['2', '7']",489
