experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,True,[],"['3', '4']",43
10_0,10,ldecc,True,"['6', '4']","['3', '4']",100
10_0,10,CMB,True,"['4', '1']","['3', '4']",30
10_0,10,pc,True,[],"['3', '4']",399
10_0,10,MBbyMB,True,"['4', '1']","['3', '4']",282
10_1,10,locpc,True,"['4', '7']","['3', '4', '7']",157
10_1,10,ldecc,True,"['7', '4']","['3', '4', '7']",199
10_1,10,CMB,True,"['7', '3', '9']","['3', '4', '7']",132
10_1,10,pc,True,"['4', '7']","['3', '4', '7']",394
10_1,10,MBbyMB,True,"['7', '9']","['3', '4', '7']",398
10_2,10,locpc,False,,"['3', '7']",192
10_2,10,ldecc,False,,"['3', '7']",275
10_2,10,CMB,True,['4'],"['3', '7']",131
10_2,10,pc,False,,"['3', '7']",354
10_2,10,MBbyMB,True,[],"['3', '7']",207
10_3,10,locpc,True,[],"['5', '7']",72
10_3,10,ldecc,True,"['6', '5']","['5', '7']",109
10_3,10,CMB,True,"['0', '1', '7']","['5', '7']",75
10_3,10,pc,True,"['6', '2']","['5', '7']",576
10_3,10,MBbyMB,True,[],"['5', '7']",804
10_4,10,locpc,False,,"['4', '6', '8']",174
10_4,10,ldecc,False,,"['4', '6', '8']",203
10_4,10,CMB,True,"['8', '7']","['4', '6', '8']",21
10_4,10,pc,False,,"['4', '6', '8']",302
10_4,10,MBbyMB,True,[],"['4', '6', '8']",444
10_5,10,locpc,False,,"['2', '5']",480
10_5,10,ldecc,True,['5'],"['2', '5']",329
10_5,10,CMB,True,"['5', '2', '6']","['2', '5']",155
10_5,10,pc,False,,"['2', '5']",717
10_5,10,MBbyMB,True,"['8', '5', '2', '6']","['2', '5']",560
10_6,10,locpc,True,[],['8'],587
10_6,10,ldecc,True,"['3', '8']",['8'],68
10_6,10,CMB,True,['8'],['8'],1112
10_6,10,pc,True,[],['8'],962
10_6,10,MBbyMB,True,[],['8'],604
10_7,10,locpc,False,,"['0', '7', '8']",181
10_7,10,ldecc,True,"['7', '8', '0']","['0', '7', '8']",93
10_7,10,CMB,True,"['7', '8', '0']","['0', '7', '8']",202
