annee;patho_niv1;patho_niv2;patho_niv3;top;cla_age_5;sexe;region;dept;Ntop;Npop;prev;Niveau prioritaire;libelle_classe_age;libelle_sexe;tri
2023;Cancers;;;CAN_CAT_CAT;tsage;1;01;971;9230;174280;5.297;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;02;999;8980;161080;5.573;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;11;77;29970;689370;4.347;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;11;92;30390;756390;4.018;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;11;93;25700;786450;3.268;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;11;95;22240;620060;3.587;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;11;999;237980;5836330;4.078;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;24;41;9140;155660;5.874;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;24;45;16030;322630;4.969;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;24;999;66220;1214070;5.454;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;27;21;14340;248850;5.764;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;27;39;7810;123680;6.317;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;27;71;17680;259740;6.808;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;27;999;80170;1315260;6.095;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;28;50;15810;237130;6.666;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;28;76;31930;590940;5.403;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;32;02;13280;247750;5.359;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;32;60;18420;393330;4.682;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;44;51;14020;264300;5.303;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;44;57;27910;428620;6.512;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;44;67;29500;549230;5.372;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;44;88;10340;172750;5.988;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;52;44;36220;714600;5.069;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;52;85;22940;346050;6.63;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;52;999;105850;1870240;5.659;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;53;22;19130;293170;6.525;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;53;29;29830;447290;6.67;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;53;999;99800;1650520;6.047;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;75;23;4260;52300;8.153;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;75;24;13880;195890;7.087;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;75;33;45140;811340;5.564;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;75;86;11690;201840;5.79;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;75;999;180870;2924750;6.184;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;76;48;2340;35750;6.557;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;76;65;6900;110200;6.257;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;76;81;12100;189870;6.372;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;76;82;6530;129480;5.046;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;76;999;162800;2929580;5.557;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;84;01;15430;305940;5.043;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;84;15;5460;67560;8.079;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;84;26;14080;255510;5.509;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;84;07;10020;159560;6.282;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;84;73;11770;216710;5.433;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;84;999;202660;3886050;5.215;1;tous âges;hommes;1.0
2023;Cancers;;;CAN_CAT_CAT;tsage;1;94;2A;4440;71610;6.202;1;tous âges;hommes;1.0
