experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,True,"['3', '6', '7', '8']","['0', '3', '6', '7']",188
10_0,10,ldecc,True,"['0', '7', '6', '3']","['0', '3', '6', '7']",85
10_0,10,pc,True,"['3', '6', '8', '7']","['0', '3', '6', '7']",413
10_0,10,CMB,True,"['3', '6', '8', '7']","['0', '3', '6', '7']",440
10_0,10,MBbyMB,True,"['3', '8', '9']","['0', '3', '6', '7']",1914
10_1,10,locpc,True,"['4', '0']","['0', '4', '6']",126
10_1,10,ldecc,True,['0'],"['0', '4', '6']",126
10_1,10,pc,True,"['0', '4']","['0', '4', '6']",331
10_1,10,CMB,True,['0'],"['0', '4', '6']",741
10_1,10,MBbyMB,True,"['0', '4']","['0', '4', '6']",1234
10_2,10,locpc,True,"['6', '7']","['6', '7']",64
10_2,10,ldecc,True,"['7', '6']","['6', '7']",33
10_2,10,pc,True,"['6', '7']","['6', '7']",183
10_2,10,CMB,True,"['7', '6']","['6', '7']",27
10_2,10,MBbyMB,True,"['7', '6']","['6', '7']",481
10_3,10,locpc,True,"['2', '4', '5', '8', '6', '7']","['2', '4', '7', '8']",330
10_3,10,ldecc,True,"['7', '2', '4', '8']","['2', '4', '7', '8']",180
10_3,10,pc,True,"['2', '4', '5', '8', '6', '7']","['2', '4', '7', '8']",432
10_3,10,CMB,True,['8'],"['2', '4', '7', '8']",606
10_3,10,MBbyMB,True,"['0', '2', '4', '8', '7']","['2', '4', '7', '8']",1756
10_4,10,locpc,True,"['9', '2', '4']","['2', '4', '9']",256
10_4,10,ldecc,True,"['2', '9', '4']","['2', '4', '9']",91
10_4,10,pc,True,"['2', '9', '4']","['2', '4', '9']",579
10_4,10,CMB,True,['9'],"['2', '4', '9']",1153
10_4,10,MBbyMB,True,"['3', '4', '2', '9']","['2', '4', '9']",2334
10_5,10,locpc,True,"['7', '5']","['5', '7']",66
10_5,10,ldecc,True,"['7', '5']","['5', '7']",24
10_5,10,pc,True,"['5', '7']","['5', '7']",187
10_5,10,CMB,True,"['5', '7']","['5', '7']",30
10_5,10,MBbyMB,True,"['5', '7', '1']","['5', '7']",373
10_6,10,locpc,True,"['6', '9']","['6', '9']",39
10_6,10,ldecc,True,"['9', '6']","['6', '9']",24
10_6,10,pc,True,"['9', '6']","['6', '9']",220
10_6,10,CMB,True,"['6', '9']","['6', '9']",25
10_6,10,MBbyMB,True,"['6', '9']","['6', '9']",167
10_7,10,locpc,False,,"['5', '8']",298
10_7,10,ldecc,True,"['5', '8']","['5', '8']",112
10_7,10,pc,False,,"['5', '8']",504
10_7,10,CMB,False,,"['5', '8']",2078
10_7,10,MBbyMB,True,"['3', '9', '5', '8']","['5', '8']",860
10_8,10,locpc,True,"['9', '7']","['5', '6']",78
10_8,10,ldecc,True,['5'],"['5', '6']",91
10_8,10,pc,True,"['9', '7']","['5', '6']",164
10_8,10,CMB,False,,"['5', '6']",422
10_8,10,MBbyMB,False,,"['5', '6']",303
10_9,10,locpc,True,"['4', '5']","['4', '5']",62
10_9,10,ldecc,True,"['4', '5']","['4', '5']",62
10_9,10,pc,True,"['4', '5']","['4', '5']",168
10_9,10,CMB,True,"['4', '5']","['4', '5']",213
10_9,10,MBbyMB,True,"['4', '5']","['4', '5']",208
10_10,10,locpc,True,"['3', '6', '9']","['3', '6', '9']",238
10_10,10,ldecc,True,"['6', '3']","['3', '6', '9']",225
10_10,10,pc,True,"['3', '9', '6']","['3', '6', '9']",599
10_10,10,CMB,True,"['6', '9', '3']","['3', '6', '9']",415
10_10,10,MBbyMB,True,"['6', '3']","['3', '6', '9']",1570
10_11,10,locpc,True,"['7', '5']","['5', '7']",116
10_11,10,ldecc,True,[],"['5', '7']",152
10_11,10,pc,True,"['7', '5']","['5', '7']",197
10_11,10,CMB,True,"['5', '7', '3']","['5', '7']",225
10_11,10,MBbyMB,True,"['5', '7', '8']","['5', '7']",229
10_12,10,locpc,True,"['9', '4']","['4', '9']",78
10_12,10,ldecc,True,"['9', '4', '0']","['4', '9']",47
10_12,10,pc,True,"['9', '4']","['4', '9']",257
10_12,10,CMB,True,"['0', '9', '4']","['4', '9']",145
10_12,10,MBbyMB,True,"['9', '4']","['4', '9']",565
10_13,10,locpc,True,"['7', '5']","['5', '7']",61
10_13,10,ldecc,True,"['7', '5']","['5', '7']",24
10_13,10,pc,True,"['5', '7']","['5', '7']",193
10_13,10,CMB,True,"['5', '7']","['5', '7']",40
10_13,10,MBbyMB,True,"['4', '5', '7', '2']","['5', '7']",405
10_14,10,locpc,True,"['3', '9']","['3', '9']",80
10_14,10,ldecc,True,"['9', '3']","['3', '9']",24
10_14,10,pc,True,"['3', '9']","['3', '9']",273
10_14,10,CMB,True,"['9', '3']","['3', '9']",30
10_14,10,MBbyMB,True,"['0', '9', '1', '3']","['3', '9']",430
10_15,10,locpc,True,"['6', '8']","['6', '8']",49
10_15,10,ldecc,True,"['6', '8']","['6', '8']",24
10_15,10,pc,True,"['8', '6']","['6', '8']",163
10_15,10,CMB,True,"['8', '6']","['6', '8']",25
10_15,10,MBbyMB,True,"['8', '6']","['6', '8']",225
10_16,10,locpc,True,"['8', '3']","['3', '8']",261
10_16,10,ldecc,True,"['8', '3']","['3', '8']",56
10_16,10,pc,True,"['3', '8']","['3', '8']",534
10_16,10,CMB,True,"['3', '8', '1']","['3', '8']",366
10_16,10,MBbyMB,True,"['3', '4', '8']","['3', '8']",2184
10_17,10,locpc,True,"['5', '6']","['5', '6']",36
10_17,10,ldecc,True,"['5', '6']","['5', '6']",29
10_17,10,pc,True,"['5', '6']","['5', '6']",191
10_17,10,CMB,True,"['5', '6']","['5', '6']",26
10_17,10,MBbyMB,True,"['4', '5', '6']","['5', '6']",236
10_18,10,locpc,True,['9'],['9'],64
10_18,10,ldecc,True,[],['9'],110
10_18,10,pc,True,['9'],['9'],155
10_18,10,CMB,True,['9'],['9'],72
10_18,10,MBbyMB,True,['9'],['9'],260
10_19,10,locpc,True,"['4', '1', '8', '6']","['1', '4', '6', '8']",242
10_19,10,ldecc,True,"['4', '6', '8', '1']","['1', '4', '6', '8']",72
10_19,10,pc,True,"['1', '4', '8', '6']","['1', '4', '6', '8']",356
10_19,10,CMB,True,"['1', '8', '4', '6']","['1', '4', '6', '8']",381
10_19,10,MBbyMB,True,"['1', '8', '4', '6', '7']","['1', '4', '6', '8']",1472
10_20,10,locpc,True,"['8', '6', '2']","['2', '6', '8']",93
10_20,10,ldecc,True,"['2', '6', '8']","['2', '6', '8']",34
10_20,10,pc,True,"['2', '8', '6']","['2', '6', '8']",277
10_20,10,CMB,True,"['2', '8', '6']","['2', '6', '8']",204
10_20,10,MBbyMB,True,"['2', '8', '6']","['2', '6', '8']",458
10_21,10,locpc,True,"['4', '1', '3', '5']","['1', '3', '4', '5']",99
10_21,10,ldecc,True,"['4', '5', '1', '3']","['1', '3', '4', '5']",70
10_21,10,pc,True,"['4', '1', '3', '5']","['1', '3', '4', '5']",180
10_21,10,CMB,True,"['1', '4', '5', '3']","['1', '3', '4', '5']",240
10_21,10,MBbyMB,True,"['1', '4', '5']","['1', '3', '4', '5']",639
10_22,10,locpc,True,"['3', '4', '5']","['3', '5', '9']",115
10_22,10,ldecc,True,"['4', '5', '3']","['3', '5', '9']",181
10_22,10,pc,True,"['3', '4', '5']","['3', '5', '9']",217
10_22,10,CMB,True,"['3', '9', '5']","['3', '5', '9']",317
10_22,10,MBbyMB,True,"['1', '3', '9', '5', '4']","['3', '5', '9']",947
10_23,10,locpc,True,[],['3'],618
10_23,10,ldecc,True,[],['3'],23
10_23,10,pc,True,[],['3'],779
10_23,10,CMB,True,['3'],['3'],534
10_23,10,MBbyMB,True,['3'],['3'],881
10_24,10,locpc,True,"['3', '9', '2', '4']","['2', '3', '4', '9']",363
10_24,10,ldecc,True,"['4', '2', '9', '3']","['2', '3', '4', '9']",152
10_24,10,pc,True,"['2', '3', '9', '4']","['2', '3', '4', '9']",650
10_24,10,CMB,True,"['2', '3', '9', '4']","['2', '3', '4', '9']",1494
10_24,10,MBbyMB,True,"['0', '2', '3', '9', '4']","['2', '3', '4', '9']",2782
10_25,10,locpc,False,,"['0', '3']",151
10_25,10,ldecc,True,[],"['0', '3']",51
10_25,10,pc,False,,"['0', '3']",225
10_25,10,CMB,True,['5'],"['0', '3']",77
10_25,10,MBbyMB,True,[],"['0', '3']",464
10_26,10,locpc,True,"['6', '9', '8', '3']","['6', '8', '9']",103
10_26,10,ldecc,True,"['9', '6', '8']","['6', '8', '9']",79
10_26,10,pc,True,"['6', '9', '8', '3']","['6', '8', '9']",181
10_26,10,CMB,True,"['9', '8', '6']","['6', '8', '9']",139
10_26,10,MBbyMB,True,"['9', '8', '6']","['6', '8', '9']",448
10_27,10,locpc,False,,['1'],114
10_27,10,ldecc,True,[],['1'],176
10_27,10,pc,False,,['1'],204
10_27,10,CMB,True,['1'],['1'],324
10_27,10,MBbyMB,True,['1'],['1'],617
10_28,10,locpc,True,"['5', '9']","['5', '9']",120
10_28,10,ldecc,True,"['9', '5']","['5', '9']",24
10_28,10,pc,True,"['5', '9']","['5', '9']",468
10_28,10,CMB,True,"['5', '9']","['5', '9']",50
10_28,10,MBbyMB,True,"['5', '9']","['5', '9']",587
10_29,10,locpc,True,"['8', '5', '0']","['5', '8']",46
10_29,10,ldecc,True,"['8', '5', '0']","['5', '8']",52
10_29,10,pc,True,"['8', '5', '0']","['5', '8']",112
10_29,10,CMB,True,"['8', '5', '0']","['5', '8']",121
10_29,10,MBbyMB,True,"['8', '5']","['5', '8']",213
10_30,10,locpc,True,"['5', '6']","['5', '6']",42
10_30,10,ldecc,True,"['5', '6']","['5', '6']",24
10_30,10,pc,True,"['5', '6']","['5', '6']",128
10_30,10,CMB,True,"['5', '6']","['5', '6']",25
10_30,10,MBbyMB,True,"['5', '6']","['5', '6']",219
10_31,10,locpc,True,"['1', '5', '3']","['1', '3', '5']",53
10_31,10,ldecc,True,"['5', '1', '3']","['1', '3', '5']",34
10_31,10,pc,True,"['5', '1', '3']","['1', '3', '5']",121
10_31,10,CMB,True,"['3', '5', '1']","['1', '3', '5']",127
10_31,10,MBbyMB,True,"['3', '5', '1']","['1', '3', '5']",318
10_32,10,locpc,True,"['6', '9']","['6', '9']",71
10_32,10,ldecc,True,"['9', '6']","['6', '9']",59
