dag_size,method,identifiable_proportion,avg_nb_CI_tests
10,locpc,0.92,157.22
10,ldecc,0.93,93.21
10,pc,0.98,314.72
10,CMB,0.97,392.88
10,MBbyMB,0.99,769.82
20,locpc,0.98,293.45
20,ldecc,0.9,380.12
20,pc,1.0,1046.3
20,CMB,0.97,730.77
20,MBbyMB,1.0,1313.18
30,locpc,0.97,481.94
30,ldecc,0.97,515.61
30,pc,0.99,2300.01
30,CMB,1.0,822.45
30,MBbyMB,1.0,1766.43
40,locpc,0.97,564.82
40,ldecc,0.96,818.21
40,pc,0.98,3719.13
40,CMB,0.98,1211.19
40,MBbyMB,1.0,2101.1
50,locpc,0.99,673.51
50,ldecc,0.95,1212.39
50,pc,0.99,5240.16
50,CMB,0.98,1528.79
50,MBbyMB,0.98,2403.78
