dag_size,method,identifiable_proportion,avg_nb_CI_tests
10,locpc,0.35,241.74
10,ldecc,0.32,203.08
10,pc,0.15,478.83
10,CMB,0.18,1354.9
10,MBbyMB,0.15,1488.13
20,locpc,0.37,579.26
20,ldecc,0.38,646.9
20,pc,0.2,1427.33
20,CMB,0.41,2679.51
20,MBbyMB,0.16,2328.52
30,locpc,0.25,716.71
30,ldecc,0.17,957.11
30,pc,0.15,2468.9
30,CMB,0.27,3414.02
30,MBbyMB,0.15,3010.3
40,locpc,0.25,1104.83
40,ldecc,0.19,1605.2
40,pc,0.12,4048.06
40,CMB,0.32,4838.89
40,MBbyMB,0.11,3862.11
50,locpc,0.22,1496.19
50,ldecc,0.12,2403.89
50,pc,0.1,5989.52
50,CMB,0.33,5494.99
50,MBbyMB,0.08,3778.31
