experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_0,100,locpc,True,"['66', '34', '99']","['34', '66', '99']",1001
100_0,100,ldecc,True,"['34', '66', '99']","['34', '66', '99']",303
100_0,100,CMB,True,"['60', '37', '34', '99']","['34', '66', '99']",1114
100_0,100,MBbyMB,True,"['27', '37', '34', '79', '99']","['34', '66', '99']",6409
100_1,100,locpc,True,['15'],['15'],3297
100_1,100,ldecc,True,['15'],['15'],1554
100_1,100,CMB,True,[],['15'],4951
100_1,100,MBbyMB,True,"['68', '15', '90']",['15'],1369
100_2,100,locpc,True,"['64', '87', '10']","['64', '87']",1020
100_2,100,ldecc,False,,"['64', '87']",14120
100_2,100,CMB,True,"['1', '10', '87', '69', '54']","['64', '87']",10869
100_2,100,MBbyMB,True,"['10', '87', '90', '69', '71', '13', '54']","['64', '87']",11028
100_3,100,locpc,True,"['53', '5', '95']","['5', '53']",661
100_3,100,ldecc,True,"['5', '53', '95']","['5', '53']",349
100_3,100,CMB,True,"['5', '89', '45', '53']","['5', '53']",16321
100_3,100,MBbyMB,True,"['5', '80', '89', '53', '77', '92']","['5', '53']",13163
100_4,100,locpc,True,['3'],['3'],1461
100_4,100,ldecc,False,,['3'],14531
100_4,100,CMB,True,"['57', '70', '3', '44']",['3'],5017
100_4,100,MBbyMB,True,"['57', '64', '63', '3']",['3'],6539
100_5,100,locpc,True,"['89', '26', '2']","['2', '26', '89']",1587
100_5,100,ldecc,True,"['89', '2', '26']","['2', '26', '89']",695
100_5,100,CMB,True,"['2', '75', '99', '89', '76']","['2', '26', '89']",2690
100_5,100,MBbyMB,True,"['2', '65', '82', '24', '35', '89']","['2', '26', '89']",13476
100_6,100,locpc,True,"['41', '51', '23']","['23', '41', '51']",531
100_6,100,ldecc,True,"['51', '41', '23']","['23', '41', '51']",342
100_6,100,CMB,True,"['41', '81', '51']","['23', '41', '51']",881
100_6,100,MBbyMB,True,"['41', '81', '51']","['23', '41', '51']",2230
100_7,100,locpc,True,[],"['54', '59', '89']",863
100_7,100,ldecc,True,[],"['54', '59', '89']",10277
