experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,True,"['4', '8']","['4', '8']",64
10_0,10,ldecc,True,"['8', '4']","['4', '8']",24
10_0,10,pc,True,"['4', '8']","['4', '8']",180
10_0,10,CMB,True,"['9', '2']","['4', '8']",23
10_0,10,MBbyMB,True,[],"['4', '8']",155
10_1,10,locpc,True,"['0', '8']","['0', '8']",91
10_1,10,ldecc,True,"['0', '8']","['0', '8']",137
10_1,10,pc,True,"['0', '8']","['0', '8']",210
10_1,10,CMB,True,[],"['0', '8']",37
10_1,10,MBbyMB,True,[],"['0', '8']",76
10_2,10,locpc,True,"['9', '3', '1', '7']","['1', '9']",116
10_2,10,ldecc,False,,"['1', '9']",140
10_2,10,pc,True,"['7', '3', '9', '1']","['1', '9']",241
10_2,10,CMB,True,"['1', '9']","['1', '9']",24
10_2,10,MBbyMB,True,"['1', '9']","['1', '9']",184
10_3,10,locpc,True,"['1', '7']","['1', '7']",49
10_3,10,ldecc,True,"['7', '1']","['1', '7']",24
10_3,10,pc,True,"['1', '7']","['1', '7']",191
10_3,10,CMB,True,[],"['1', '7']",307
10_3,10,MBbyMB,True,"['7', '9']","['1', '7']",142
10_4,10,locpc,True,"['3', '2']","['2', '3']",142
10_4,10,ldecc,True,"['3', '2']","['2', '3']",24
10_4,10,pc,True,"['3', '2']","['2', '3']",418
10_4,10,CMB,True,[],"['2', '3']",679
10_4,10,MBbyMB,True,"['0', '3', '6']","['2', '3']",555
10_5,10,locpc,True,"['0', '1', '3']","['0', '1', '3']",214
10_5,10,ldecc,True,"['3', '0', '1']","['0', '1', '3']",34
10_5,10,pc,True,"['3', '1', '0']","['0', '1', '3']",559
10_5,10,CMB,True,[],"['0', '1', '3']",484
10_5,10,MBbyMB,True,"['1', '6']","['0', '1', '3']",477
10_6,10,locpc,True,"['0', '6']","['0', '6']",57
10_6,10,ldecc,True,"['6', '0']","['0', '6']",24
10_6,10,pc,True,"['6', '0']","['0', '6']",212
10_6,10,CMB,True,['1'],"['0', '6']",367
10_6,10,MBbyMB,True,"['6', '1']","['0', '6']",261
10_7,10,locpc,True,"['1', '7']","['1', '7']",105
10_7,10,ldecc,True,"['7', '1']","['1', '7']",32
10_7,10,pc,True,"['1', '7']","['1', '7']",223
10_7,10,CMB,True,[],"['1', '7']",241
10_7,10,MBbyMB,True,[],"['1', '7']",190
10_8,10,locpc,False,,"['1', '8']",247
10_8,10,ldecc,True,"['8', '1']","['1', '8']",64
10_8,10,pc,False,,"['1', '8']",397
10_8,10,CMB,True,[],"['1', '8']",1573
10_8,10,MBbyMB,True,"['7', '8', '3']","['1', '8']",461
10_9,10,locpc,True,"['2', '4']","['2', '4']",86
10_9,10,ldecc,True,"['2', '4']","['2', '4']",24
10_9,10,pc,True,"['2', '4']","['2', '4']",245
10_9,10,CMB,True,[],"['2', '4']",648
10_9,10,MBbyMB,True,[],"['2', '4']",380
10_10,10,locpc,True,['6'],['6'],138
10_10,10,ldecc,True,"['6', '5']",['6'],64
10_10,10,pc,True,['6'],['6'],270
10_10,10,CMB,True,[],['6'],1061
10_10,10,MBbyMB,True,"['4', '6']",['6'],605
10_11,10,locpc,True,"['3', '4']","['3', '4']",133
10_11,10,ldecc,True,"['3', '4']","['3', '4']",86
10_11,10,pc,True,"['3', '4']","['3', '4']",281
10_11,10,CMB,True,[],"['3', '4']",265
10_11,10,MBbyMB,True,"['3', '7']","['3', '4']",152
10_12,10,locpc,True,"['3', '0', '6', '8']","['0', '3', '6', '8']",251
10_12,10,ldecc,True,"['6', '3', '0', '8']","['0', '3', '6', '8']",114
10_12,10,pc,True,"['0', '8', '6', '3']","['0', '3', '6', '8']",454
10_12,10,CMB,True,"['8', '3', '0', '9']","['0', '3', '6', '8']",332
10_12,10,MBbyMB,True,"['6', '8', '3', '0']","['0', '3', '6', '8']",771
10_13,10,locpc,True,"['8', '9']","['8', '9']",179
10_13,10,ldecc,True,"['8', '9']","['8', '9']",168
10_13,10,pc,True,"['8', '9']","['8', '9']",317
10_13,10,CMB,True,"['8', '9', '1']","['8', '9']",313
10_13,10,MBbyMB,True,"['8', '9', '7']","['8', '9']",368
10_14,10,locpc,True,"['3', '1', '4', '8']","['1', '3', '4', '8']",151
10_14,10,ldecc,True,"['3', '8', '4', '1']","['1', '3', '4', '8']",56
10_14,10,pc,True,"['8', '4', '3', '1']","['1', '3', '4', '8']",270
10_14,10,CMB,True,"['3', '8', '1']","['1', '3', '4', '8']",53
10_14,10,MBbyMB,True,"['3', '1']","['1', '3', '4', '8']",539
10_15,10,locpc,True,['4'],['4'],560
10_15,10,ldecc,True,['4'],['4'],50
10_15,10,pc,True,['4'],['4'],845
10_15,10,CMB,True,[],['4'],219
10_15,10,MBbyMB,True,"['5', '0', '4']",['4'],923
10_16,10,locpc,True,"['5', '9', '8']","['5', '8', '9']",159
10_16,10,ldecc,True,"['5', '8', '9']","['5', '8', '9']",34
10_16,10,pc,True,"['5', '8', '9']","['5', '8', '9']",452
10_16,10,CMB,True,"['2', '5', '9', '7']","['5', '8', '9']",789
10_16,10,MBbyMB,True,"['5', '9', '3', '7', '6']","['5', '8', '9']",1069
10_17,10,locpc,True,['5'],['5'],100
10_17,10,ldecc,True,['5'],['5'],36
10_17,10,pc,True,['5'],['5'],195
10_17,10,CMB,True,[],['5'],132
10_17,10,MBbyMB,True,[],['5'],153
10_18,10,locpc,True,"['3', '6']","['3', '6', '8']",300
10_18,10,ldecc,True,"['3', '8']","['3', '6', '8']",80
10_18,10,pc,True,"['8', '6', '3']","['3', '6', '8']",462
10_18,10,CMB,True,"['6', '5']","['3', '6', '8']",23
10_18,10,MBbyMB,True,['6'],"['3', '6', '8']",181
10_19,10,locpc,True,"['6', '9']","['6', '9']",98
10_19,10,ldecc,True,"['6', '9']","['6', '9']",24
10_19,10,pc,True,"['6', '9']","['6', '9']",290
10_19,10,CMB,True,[],"['6', '9']",329
10_19,10,MBbyMB,True,[],"['6', '9']",211
10_20,10,locpc,True,"['3', '6', '7', '9']","['3', '6', '7', '9']",264
10_20,10,ldecc,True,"['6', '3', '7', '9']","['3', '6', '7', '9']",56
10_20,10,pc,True,"['3', '6', '7', '9']","['3', '6', '7', '9']",463
10_20,10,CMB,True,['4'],"['3', '6', '7', '9']",866
10_20,10,MBbyMB,True,"['6', '7', '8', '2']","['3', '6', '7', '9']",722
10_21,10,locpc,True,"['4', '8']","['4', '8']",192
10_21,10,ldecc,True,"['8', '4']","['4', '8']",200
10_21,10,pc,True,"['8', '4']","['4', '8']",358
10_21,10,CMB,True,"['5', '4', '3']","['4', '8']",96
10_21,10,MBbyMB,True,"['5', '4']","['4', '8']",292
10_22,10,locpc,True,"['3', '5', '4']","['3', '4', '5']",93
10_22,10,ldecc,True,"['3', '5', '4']","['3', '4', '5']",34
10_22,10,pc,True,"['3', '4', '5']","['3', '4', '5']",397
10_22,10,CMB,True,"['5', '9', '7']","['3', '4', '5']",374
10_22,10,MBbyMB,True,"['5', '9']","['3', '4', '5']",705
10_23,10,locpc,True,"['3', '9']","['3', '9']",70
10_23,10,ldecc,True,"['3', '2', '9']","['3', '9']",44
10_23,10,pc,True,"['3', '9']","['3', '9']",216
10_23,10,CMB,True,"['3', '9', '1']","['3', '9']",120
10_23,10,MBbyMB,True,"['3', '9', '1']","['3', '9']",284
10_24,10,locpc,True,"['3', '1']","['1', '3']",78
10_24,10,ldecc,True,"['3', '1']","['1', '3']",24
10_24,10,pc,True,"['1', '3']","['1', '3']",200
10_24,10,CMB,True,"['1', '4']","['1', '3']",23
10_24,10,MBbyMB,True,"['1', '4']","['1', '3']",146
10_25,10,locpc,True,[],"['1', '3']",96
10_25,10,ldecc,True,"['6', '1']","['1', '3']",112
10_25,10,pc,True,"['6', '1']","['1', '3']",581
10_25,10,CMB,True,[],"['1', '3']",288
10_25,10,MBbyMB,True,"['0', '1']","['1', '3']",140
10_26,10,locpc,True,"['3', '2']","['2', '3']",78
10_26,10,ldecc,True,"['3', '2']","['2', '3']",24
10_26,10,pc,True,"['3', '2']","['2', '3']",297
10_26,10,CMB,True,"['2', '3']","['2', '3']",27
10_26,10,MBbyMB,True,"['2', '3', '4']","['2', '3']",212
10_27,10,locpc,True,"['0', '2']","['0', '2']",52
10_27,10,ldecc,False,,"['0', '2']",129
10_27,10,pc,True,"['0', '2']","['0', '2']",168
10_27,10,CMB,False,,"['0', '2']",304
10_27,10,MBbyMB,False,,"['0', '2']",189
10_28,10,locpc,True,[],"['6', '7']",283
10_28,10,ldecc,True,"['6', '7']","['6', '7']",84
10_28,10,pc,True,[],"['6', '7']",514
10_28,10,CMB,True,[],"['6', '7']",2311
10_28,10,MBbyMB,True,"['8', '1', '6']","['6', '7']",1170
10_29,10,locpc,True,"['9', '0', '8']","['0', '8', '9']",118
10_29,10,ldecc,True,"['0', '8', '9']","['0', '8', '9']",55
10_29,10,pc,True,"['9', '0', '8']","['0', '8', '9']",276
10_29,10,CMB,True,[],"['0', '8', '9']",285
10_29,10,MBbyMB,True,['0'],"['0', '8', '9']",227
10_30,10,locpc,True,"['4', '7', '8', '6', '9']","['4', '5', '6', '9']",371
