experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_0,100,locpc,False,,['81'],1224
100_0,100,ldecc,False,,['81'],12853
100_0,100,CMB,True,['42'],['81'],33215
100_0,100,MBbyMB,True,"['30', '18', '62']",['81'],9417
100_1,100,locpc,True,"['62', '8']","['8', '33', '62']",5243
100_1,100,ldecc,True,[],"['8', '33', '62']",9807
100_1,100,CMB,True,"['62', '8', '33', '0']","['8', '33', '62']",7134
100_1,100,MBbyMB,True,"['3', '13', '62', '8', '93', '33', '0']","['8', '33', '62']",12469
100_2,100,locpc,True,[],"['15', '96']",5522
100_2,100,ldecc,True,['53'],"['15', '96']",8649
100_2,100,CMB,True,['64'],"['15', '96']",38379
100_2,100,MBbyMB,True,"['2', '12', '48', '54', '82', '90', '21', '6']","['15', '96']",35162
100_3,100,locpc,False,,['75'],10315
100_3,100,ldecc,True,"['59', '75']",['75'],5559
100_3,100,CMB,True,['0'],['75'],10923
100_3,100,MBbyMB,True,"['15', '56', '75', '0']",['75'],3571
100_4,100,locpc,False,,['0'],3108
100_4,100,ldecc,True,"['0', '95']",['0'],1816
100_4,100,CMB,True,"['43', '20', '30', '95']",['0'],661
100_4,100,MBbyMB,True,"['36', '20', '98', '95']",['0'],5864
100_5,100,locpc,True,"['0', '2', '12']",['0'],910
100_5,100,ldecc,True,[],['0'],9483
100_5,100,CMB,True,"['18', '12', '0', '2']",['0'],7806
100_5,100,MBbyMB,True,"['17', '0', '96', '2', '80']",['0'],12597
100_6,100,locpc,False,,['95'],1856
100_6,100,ldecc,False,,['95'],15393
100_6,100,CMB,True,"['54', '32', '43', '86', '47']",['95'],8673
100_6,100,MBbyMB,True,"['32', '28']",['95'],18140
100_7,100,locpc,True,"['73', '11', '29', '22']","['29', '73']",2776
100_7,100,ldecc,True,"['73', '29']","['29', '73']",9621
100_7,100,CMB,True,"['74', '88', '65', '73', '29', '22']","['29', '73']",11598
100_7,100,MBbyMB,True,"['63', '88', '92', '37', '82', '52', '73', '85', '26', '29', '22']","['29', '73']",14243
100_8,100,locpc,False,,['89'],2414
100_8,100,ldecc,True,"['72', '89']",['89'],1426
100_8,100,CMB,True,[],['89'],15493
100_8,100,MBbyMB,True,"['89', '60', '72', '94']",['89'],4367
100_9,100,locpc,False,,['42'],1862
100_9,100,ldecc,True,"['42', '4']",['42'],3012
100_9,100,CMB,False,,['42'],2703
100_9,100,MBbyMB,True,"['32', '42']",['42'],844
100_10,100,locpc,True,[],['70'],1890
100_10,100,ldecc,True,"['17', '70']",['70'],931
100_10,100,CMB,True,['45'],['70'],28548
100_10,100,MBbyMB,True,"['45', '23']",['70'],4835
100_11,100,locpc,False,,['23'],6342
100_11,100,ldecc,True,[],['23'],9413
100_11,100,CMB,True,"['18', '75', '85', '60', '23', '68', '81']",['23'],21866
100_11,100,MBbyMB,True,"['18', '60', '83', '23', '65', '19']",['23'],21523
100_12,100,locpc,False,,['74'],3869
100_12,100,ldecc,True,"['74', '34']",['74'],9520
100_12,100,CMB,True,"['74', '34', '72']",['74'],8146
100_12,100,MBbyMB,True,[],['74'],4185
100_13,100,locpc,False,,['92'],1961
100_13,100,ldecc,True,"['60', '92']",['92'],1949
100_13,100,CMB,True,['38'],['92'],18836
100_13,100,MBbyMB,True,"['76', '5']",['92'],6475
100_14,100,locpc,True,[],"['2', '48']",156
100_14,100,ldecc,True,[],"['2', '48']",400
100_14,100,CMB,True,"['10', '45', '36', '18']","['2', '48']",5323
100_14,100,MBbyMB,True,"['45', '70']","['2', '48']",8669
100_15,100,locpc,False,,"['49', '90']",1135
100_15,100,ldecc,True,['49'],"['49', '90']",14599
100_15,100,CMB,True,[],"['49', '90']",15557
100_15,100,MBbyMB,True,"['8', '48']","['49', '90']",8727
100_16,100,locpc,True,"['14', '10', '53']","['10', '14', '53']",10094
100_16,100,ldecc,True,"['14', '53', '10']","['10', '14', '53']",1361
100_16,100,CMB,True,"['29', '85', '18', '90', '5', '17', '91', '80']","['10', '14', '53']",7247
100_16,100,MBbyMB,True,[],"['10', '14', '53']",26015
100_17,100,locpc,True,['3'],['3'],6292
100_17,100,ldecc,True,"['3', '4']",['3'],14815
100_17,100,CMB,True,[],['3'],11241
100_17,100,MBbyMB,True,"['47', '7', '3', '4']",['3'],3191
100_18,100,locpc,True,"['83', '42']","['44', '83']",1373
100_18,100,ldecc,True,['83'],"['44', '83']",8966
100_18,100,CMB,True,"['7', '13', '44', '99']","['44', '83']",6718
100_18,100,MBbyMB,True,"['77', '55', '44']","['44', '83']",13401
100_19,100,locpc,True,"['99', '38', '27']","['38', '99']",1510
100_19,100,ldecc,False,,"['38', '99']",17879
100_19,100,CMB,True,"['72', '96', '27', '4', '86']","['38', '99']",10816
100_19,100,MBbyMB,True,[],"['38', '99']",19152
100_20,100,locpc,True,"['77', '51', '99', '98']","['77', '98']",1571
100_20,100,ldecc,True,"['77', '99', '98', '51']","['77', '98']",684
100_20,100,CMB,True,"['98', '61', '77', '74']","['77', '98']",2169
100_20,100,MBbyMB,True,"['7', '98', '65', '53']","['77', '98']",16461
100_21,100,locpc,True,"['69', '50', '8', '15']","['15', '50']",2095
100_21,100,ldecc,True,"['39', '70']","['15', '50']",14065
100_21,100,CMB,True,['70'],"['15', '50']",22977
100_21,100,MBbyMB,True,"['42', '18', '24', '53', '69']","['15', '50']",11862
100_22,100,locpc,True,[],['40'],623
100_22,100,ldecc,True,[],['40'],9929
100_22,100,CMB,True,['47'],['40'],15256
100_22,100,MBbyMB,True,"['5', '29']",['40'],9752
100_23,100,locpc,True,[],['12'],3214
100_23,100,ldecc,True,[],['12'],9624
100_23,100,CMB,True,['39'],['12'],33015
100_23,100,MBbyMB,True,"['88', '89']",['12'],16377
100_24,100,locpc,True,"['18', '20', '57']","['20', '57']",1999
100_24,100,ldecc,True,[],"['20', '57']",18625
100_24,100,CMB,True,"['18', '92', '10', '94', '34', '63']","['20', '57']",11694
100_24,100,MBbyMB,True,[],"['20', '57']",13521
100_25,100,locpc,True,['12'],['12'],2002
100_25,100,ldecc,True,"['12', '18', '8']",['12'],4352
100_25,100,CMB,True,['77'],['12'],44284
100_25,100,MBbyMB,True,"['47', '39', '8']",['12'],17278
100_26,100,locpc,True,[],['49'],1906
100_26,100,ldecc,True,[],['49'],9895
100_26,100,CMB,True,"['31', '21', '70']",['49'],913
100_26,100,MBbyMB,True,['70'],['49'],16619
100_27,100,locpc,True,[],"['12', '82']",307
100_27,100,ldecc,True,['40'],"['12', '82']",3403
100_27,100,CMB,True,"['82', '12', '4']","['12', '82']",6900
100_27,100,MBbyMB,True,"['10', '66', '82', '2', '42', '12', '53', '35', '48']","['12', '82']",18463
100_28,100,locpc,True,"['64', '56']",['64'],840
100_28,100,ldecc,True,"['56', '64']",['64'],2731
100_28,100,CMB,True,"['64', '56']",['64'],122
100_28,100,MBbyMB,True,"['64', '51', '56']",['64'],2821
100_29,100,locpc,True,"['59', '4']","['4', '59', '71']",1660
