experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,True,"['8', '7', '9']",['9'],294
10_0,10,ldecc,True,"['3', '8', '4']",['9'],248
10_0,10,pc,True,"['7', '9', '8']",['9'],576
10_0,10,CMB,False,,['9'],573
10_0,10,MBbyMB,True,"['1', '9']",['9'],107
10_1,10,locpc,True,"['2', '8', '4']","['2', '4', '8']",95
10_1,10,ldecc,True,"['8', '2', '4']","['2', '4', '8']",52
10_1,10,pc,True,"['8', '2', '4']","['2', '4', '8']",199
10_1,10,CMB,True,"['8', '4']","['2', '4', '8']",213
10_1,10,MBbyMB,True,"['2', '8', '4', '6']","['2', '4', '8']",416
10_2,10,locpc,False,,"['7', '9']",183
10_2,10,ldecc,False,,"['7', '9']",213
10_2,10,pc,False,,"['7', '9']",349
10_2,10,CMB,True,"['4', '6']","['7', '9']",23
10_2,10,MBbyMB,True,[],"['7', '9']",261
10_3,10,locpc,True,[],"['4', '5', '7', '9']",43
10_3,10,ldecc,True,[],"['4', '5', '7', '9']",82
10_3,10,pc,True,[],"['4', '5', '7', '9']",688
10_3,10,CMB,True,['3'],"['4', '5', '7', '9']",1079
10_3,10,MBbyMB,True,['4'],"['4', '5', '7', '9']",636
10_4,10,locpc,True,"['1', '7']","['1', '7']",184
10_4,10,ldecc,False,,"['1', '7']",182
10_4,10,pc,True,"['1', '5', '7']","['1', '7']",309
10_4,10,CMB,True,['1'],"['1', '7']",609
10_4,10,MBbyMB,False,,"['1', '7']",556
10_5,10,locpc,True,[],"['4', '6', '8']",288
10_5,10,ldecc,True,"['5', '8', '4']","['4', '6', '8']",77
10_5,10,pc,True,"['4', '5']","['4', '6', '8']",460
10_5,10,CMB,True,"['6', '8', '7']","['4', '6', '8']",177
10_5,10,MBbyMB,True,"['6', '8', '7']","['4', '6', '8']",511
10_6,10,locpc,True,[],"['3', '4', '6']",26
10_6,10,ldecc,True,[],"['3', '4', '6']",231
10_6,10,pc,True,[],"['3', '4', '6']",388
10_6,10,CMB,True,[],"['3', '4', '6']",359
10_6,10,MBbyMB,True,['2'],"['3', '4', '6']",408
10_7,10,locpc,True,"['4', '5']","['4', '5', '8']",273
10_7,10,ldecc,True,"['5', '8', '4']","['4', '5', '8']",134
10_7,10,pc,True,"['4', '5', '8']","['4', '5', '8']",592
10_7,10,CMB,True,"['0', '3']","['4', '5', '8']",2475
10_7,10,MBbyMB,True,"['4', '3']","['4', '5', '8']",573
10_8,10,locpc,True,"['3', '5', '0']","['3', '5']",243
10_8,10,ldecc,True,['5'],"['3', '5']",94
10_8,10,pc,True,"['3', '5', '0']","['3', '5']",407
10_8,10,CMB,True,[],"['3', '5']",105
10_8,10,MBbyMB,True,"['3', '8']","['3', '5']",208
10_9,10,locpc,True,"['3', '4', '7']","['3', '4']",117
10_9,10,ldecc,True,"['3', '7', '4']","['3', '4']",129
10_9,10,pc,True,"['3', '4', '7']","['3', '4']",242
10_9,10,CMB,True,"['3', '7']","['3', '4']",23
10_9,10,MBbyMB,True,"['3', '7']","['3', '4']",156
10_10,10,locpc,False,,['9'],334
10_10,10,ldecc,False,,['9'],349
10_10,10,pc,False,,['9'],517
10_10,10,CMB,True,"['0', '8', '1']",['9'],178
10_10,10,MBbyMB,True,"['0', '1']",['9'],727
10_11,10,locpc,False,,['1'],202
10_11,10,ldecc,False,,['1'],211
10_11,10,pc,False,,['1'],402
10_11,10,CMB,False,,['1'],364
10_11,10,MBbyMB,False,,['1'],289
10_12,10,locpc,False,,"['1', '9']",120
10_12,10,ldecc,False,,"['1', '9']",137
10_12,10,pc,False,,"['1', '9']",204
10_12,10,CMB,True,[],"['1', '9']",287
10_12,10,MBbyMB,True,[],"['1', '9']",180
10_13,10,locpc,False,,"['7', '8', '9']",184
10_13,10,ldecc,False,,"['7', '8', '9']",192
10_13,10,pc,False,,"['7', '8', '9']",324
10_13,10,CMB,False,,"['7', '8', '9']",125
10_13,10,MBbyMB,False,,"['7', '8', '9']",109
10_14,10,locpc,False,,"['0', '3']",302
10_14,10,ldecc,False,,"['0', '3']",387
10_14,10,pc,False,,"['0', '3']",499
10_14,10,CMB,True,"['0', '3']","['0', '3']",21
10_14,10,MBbyMB,True,"['0', '3']","['0', '3']",181
10_15,10,locpc,True,"['3', '5']","['3', '5']",30
10_15,10,ldecc,True,[],"['3', '5']",33
10_15,10,pc,True,"['3', '5']","['3', '5']",100
10_15,10,CMB,True,"['3', '5']","['3', '5']",21
10_15,10,MBbyMB,True,"['3', '5']","['3', '5']",97
10_16,10,locpc,True,[],"['0', '7']",721
10_16,10,ldecc,True,"['0', '7']","['0', '7']",293
10_16,10,pc,True,[],"['0', '7']",1073
10_16,10,CMB,True,['1'],"['0', '7']",671
10_16,10,MBbyMB,True,"['2', '4']","['0', '7']",416
10_17,10,locpc,False,,"['1', '9']",111
10_17,10,ldecc,False,,"['1', '9']",174
10_17,10,pc,False,,"['1', '9']",185
10_17,10,CMB,True,[],"['1', '9']",9
10_17,10,MBbyMB,True,[],"['1', '9']",9
10_18,10,locpc,True,"['1', '8']","['1', '8']",188
10_18,10,ldecc,True,['8'],"['1', '8']",323
10_18,10,pc,True,"['1', '8']","['1', '8']",319
10_18,10,CMB,True,['2'],"['1', '8']",556
10_18,10,MBbyMB,True,[],"['1', '8']",257
10_19,10,locpc,True,[],['4'],111
10_19,10,ldecc,True,[],['4'],371
10_19,10,pc,True,"['9', '0']",['4'],592
10_19,10,CMB,True,[],['4'],954
10_19,10,MBbyMB,True,[],['4'],680
