dag_size,method,identifiable_proportion,avg_nb_CI_tests
10,locpc,0.97,155.16
10,ldecc,0.98,79.95
10,pc,0.97,353.12
10,CMB,0.94,326.63
10,MBbyMB,0.93,419.32
20,locpc,1.0,339.4
20,ldecc,0.95,215.88
20,pc,1.0,1350.42
20,CMB,0.95,583.18
20,MBbyMB,0.97,1146.21
30,locpc,0.99,562.04
30,ldecc,0.92,454.08
30,pc,0.99,2765.13
30,CMB,0.99,1189.15
30,MBbyMB,0.99,2086.96
40,locpc,0.99,823.63
40,ldecc,0.91,827.69
40,pc,0.99,4651.64
40,CMB,0.99,2407.13
40,MBbyMB,1.0,3363.64
50,locpc,1.0,897.34
50,ldecc,0.87,1215.22
50,pc,1.0,6840.53
50,CMB,1.0,3376.59
50,MBbyMB,1.0,4695.22
