dag_size,method,identifiable_proportion,avg_nb_CI_tests
10,locpc,0.43,228.16
10,ldecc,0.37,215.94
10,pc,0.31,488.63
10,CMB,0.05,527.58
10,MBbyMB,0.05,510.37
20,locpc,0.44,543.18
20,ldecc,0.38,637.3
20,pc,0.35,1608.91
20,CMB,0.05,1398.92
20,MBbyMB,0.02,1338.18
30,locpc,0.4,988.1
30,ldecc,0.38,1180.97
30,pc,0.32,3186.16
30,CMB,0.02,2128.66
30,MBbyMB,0.01,2038.9
40,locpc,0.45,1324.23
40,ldecc,0.32,2080.64
40,pc,0.39,5188.61
40,CMB,0.02,3947.47
40,MBbyMB,0.01,3802.35
50,locpc,0.4,1607.61
50,ldecc,0.29,2884.09
50,pc,0.35,7440.61
50,CMB,0.0,5054.49
50,MBbyMB,0.0,4565.23
