experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,True,"['2', '7', '5']","['5', '7']",138
10_0,10,ldecc,False,,"['5', '7']",194
10_0,10,pc,True,"['2', '7', '5']","['5', '7']",275
10_0,10,CMB,True,['5'],"['5', '7']",761
10_0,10,MBbyMB,True,"['5', '7']","['5', '7']",431
10_1,10,locpc,True,"['8', '0']","['0', '8']",80
10_1,10,ldecc,True,"['8', '0']","['0', '8']",94
10_1,10,pc,True,"['8', '0']","['0', '8']",187
10_1,10,CMB,True,['0'],"['0', '8']",208
10_1,10,MBbyMB,True,"['0', '8']","['0', '8']",478
10_2,10,locpc,True,"['7', '1']","['1', '7']",47
10_2,10,ldecc,True,"['1', '7']","['1', '7']",36
10_2,10,pc,True,"['7', '1']","['1', '7']",189
10_2,10,CMB,True,"['1', '7']","['1', '7']",29
10_2,10,MBbyMB,True,"['1', '7']","['1', '7']",273
10_3,10,locpc,True,[],"['1', '7']",104
10_3,10,ldecc,True,"['1', '7']","['1', '7']",24
10_3,10,pc,True,[],"['1', '7']",281
10_3,10,CMB,True,"['1', '7']","['1', '7']",45
10_3,10,MBbyMB,True,"['1', '8', '7']","['1', '7']",526
10_4,10,locpc,True,[],['9'],380
10_4,10,ldecc,True,[],['9'],344
10_4,10,pc,True,[],['9'],692
10_4,10,CMB,True,['9'],['9'],1375
10_4,10,MBbyMB,True,"['4', '9']",['9'],939
10_5,10,locpc,True,"['8', '4', '9', '7']","['4', '7', '8', '9']",176
10_5,10,ldecc,True,"['8', '9', '7']","['4', '7', '8', '9']",139
10_5,10,pc,True,"['8', '9', '7', '4']","['4', '7', '8', '9']",365
10_5,10,CMB,True,"['7', '4', '8', '9']","['4', '7', '8', '9']",364
10_5,10,MBbyMB,True,"['7', '8', '9']","['4', '7', '8', '9']",1218
10_6,10,locpc,True,"['9', '6', '1']","['1', '3', '9']",80
10_6,10,ldecc,True,"['9', '3']","['1', '3', '9']",130
10_6,10,pc,True,"['6', '9', '1']","['1', '3', '9']",204
10_6,10,CMB,True,['9'],"['1', '3', '9']",421
10_6,10,MBbyMB,True,"['1', '9']","['1', '3', '9']",603
10_7,10,locpc,True,"['4', '6']","['4', '6']",69
10_7,10,ldecc,True,['6'],"['4', '6']",105
10_7,10,pc,True,"['6', '4']","['4', '6']",155
10_7,10,CMB,True,"['4', '6']","['4', '6']",172
10_7,10,MBbyMB,True,"['4', '6']","['4', '6']",466
10_8,10,locpc,True,"['4', '9', '6']","['4', '6', '9']",99
10_8,10,ldecc,True,"['6', '9', '4']","['4', '6', '9']",34
10_8,10,pc,True,"['4', '9', '6']","['4', '6', '9']",257
10_8,10,CMB,True,"['4', '9', '6']","['4', '6', '9']",285
10_8,10,MBbyMB,True,"['4', '9', '6']","['4', '6', '9']",665
10_9,10,locpc,True,"['4', '2']","['1', '2', '4']",128
10_9,10,ldecc,True,"['1', '4', '2']","['1', '2', '4']",97
10_9,10,pc,True,"['2', '4']","['1', '2', '4']",322
10_9,10,CMB,True,"['2', '4']","['1', '2', '4']",1110
10_9,10,MBbyMB,True,"['2', '1', '5', '4']","['1', '2', '4']",828
10_10,10,locpc,False,,"['2', '9']",40
