dag_size,method,identifiable_proportion,avg_nb_CI_tests
10,locpc,0.92,156.62
10,ldecc,0.93,93.21
10,pc,0.98,314.21
10,CMB,0.97,392.88
10,MBbyMB,0.99,769.82
20,locpc,0.98,295.88
20,ldecc,0.9,380.12
20,pc,0.99,1052.52
20,CMB,0.97,730.77
20,MBbyMB,1.0,1313.18
30,locpc,0.97,482.21
30,ldecc,0.97,515.61
30,pc,0.99,2325.64
30,CMB,1.0,822.45
30,MBbyMB,1.0,1766.43
40,locpc,0.97,566.37
40,ldecc,0.96,818.21
40,pc,0.98,3738.65
40,CMB,0.98,1211.19
40,MBbyMB,1.0,2101.1
50,locpc,0.98,668.35
50,ldecc,0.95,1212.39
50,pc,0.99,5259.84
50,CMB,0.98,1528.79
50,MBbyMB,0.98,2403.78
