experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,True,"['5', '7']","['5', '7']",207
10_0,10,pc,True,"['7', '5']","['5', '7']",381
10_1,10,locpc,True,"['8', '0']","['0', '8']",122
10_1,10,pc,True,"['8', '0']","['0', '8']",268
10_2,10,locpc,True,"['1', '0', '7']","['1', '7']",86
10_2,10,pc,True,"['1', '7', '0']","['1', '7']",208
10_3,10,locpc,True,"['1', '7']","['1', '7']",119
10_3,10,pc,True,"['1', '7']","['1', '7']",356
10_4,10,locpc,True,['9'],['9'],657
10_4,10,pc,True,['9'],['9'],981
10_5,10,locpc,True,"['8', '7', '4', '9']","['4', '7', '8', '9']",262
10_5,10,pc,True,"['7', '8', '4', '9']","['4', '7', '8', '9']",509
10_6,10,locpc,True,"['1', '3', '9']","['1', '3', '9']",171
10_6,10,pc,True,"['1', '3', '9']","['1', '3', '9']",321
10_7,10,locpc,True,"['4', '6']","['4', '6']",73
10_7,10,pc,True,"['4', '6']","['4', '6']",192
10_8,10,locpc,True,"['6', '4', '9']","['4', '6', '9']",115
10_8,10,pc,True,"['6', '4', '9']","['4', '6', '9']",244
10_9,10,locpc,True,"['2', '1', '4']","['1', '2', '4']",162
10_9,10,pc,True,"['4', '2', '1']","['1', '2', '4']",443
10_10,10,locpc,False,,"['2', '9']",39
10_10,10,pc,True,"['2', '9']","['2', '9']",222
10_11,10,locpc,True,['2'],['2'],91
10_11,10,pc,True,['2'],['2'],175
10_12,10,locpc,True,"['5', '7']","['5', '7']",86
10_12,10,pc,True,"['5', '7']","['5', '7']",286
10_13,10,locpc,True,"['0', '5']","['0', '5']",112
10_13,10,pc,True,"['0', '5']","['0', '5']",338
10_14,10,locpc,True,"['3', '5']","['3', '5']",156
10_14,10,pc,True,"['3', '5']","['3', '5']",300
10_15,10,locpc,True,"['6', '0']","['0', '6']",131
10_15,10,pc,True,"['0', '6']","['0', '6']",212
10_16,10,locpc,True,[],"['3', '4', '8']",50
10_16,10,pc,True,"['3', '4']","['3', '4', '8']",718
10_17,10,locpc,True,"['7', '9']","['7', '9']",60
10_17,10,pc,True,"['7', '9']","['7', '9']",189
10_18,10,locpc,True,"['4', '1', '0']","['0', '1', '4']",63
10_18,10,pc,True,"['1', '4', '0']","['0', '1', '4']",157
10_19,10,locpc,True,"['8', '9']","['8', '9']",138
10_19,10,pc,True,"['8', '9']","['8', '9']",462
10_20,10,locpc,True,"['2', '0', '5', '8']","['0', '2', '5']",104
10_20,10,pc,True,"['0', '8', '2', '5']","['0', '2', '5']",194
10_21,10,locpc,True,"['8', '6', '3']","['3', '6', '8']",115
10_21,10,pc,True,"['6', '8', '3']","['3', '6', '8']",309
10_22,10,locpc,True,"['0', '8']","['0', '8']",74
10_22,10,pc,True,"['0', '8']","['0', '8']",300
10_23,10,locpc,True,"['4', '1']","['1', '4']",143
10_23,10,pc,True,"['4', '1']","['1', '4']",341
10_24,10,locpc,True,"['4', '0', '6']","['0', '4', '6']",83
10_24,10,pc,True,"['4', '0', '6']","['0', '4', '6']",160
10_25,10,locpc,True,"['5', '7']","['5', '7']",67
10_25,10,pc,True,"['7', '5']","['5', '7']",211
10_26,10,locpc,True,[],"['0', '7', '8']",338
10_26,10,pc,True,"['7', '8', '0']","['0', '7', '8']",482
10_27,10,locpc,True,"['6', '8', '0']","['6', '8']",82
10_27,10,pc,True,"['8', '6', '0']","['6', '8']",191
10_28,10,locpc,True,"['8', '5']","['5', '8']",63
10_28,10,pc,True,"['8', '5']","['5', '8']",149
10_29,10,locpc,True,"['1', '5']","['1', '5']",62
10_29,10,pc,True,"['1', '5']","['1', '5']",169
10_30,10,locpc,True,"['8', '0']","['0', '8']",115
10_30,10,pc,True,"['8', '0']","['0', '8']",313
10_31,10,locpc,True,"['1', '0']","['0', '1']",302
10_31,10,pc,True,"['1', '0']","['0', '1']",684
10_32,10,locpc,True,"['4', '0']","['0', '4']",72
10_32,10,pc,True,"['4', '0']","['0', '4']",193
10_33,10,locpc,True,"['3', '4', '8']","['3', '4', '8']",103
10_33,10,pc,True,"['3', '4', '8']","['3', '4', '8']",264
10_34,10,locpc,True,[],"['0', '2', '3', '4', '6', '8', '9']",450
10_34,10,pc,True,"['3', '5', '8', '4', '0', '6']","['0', '2', '3', '4', '6', '8', '9']",488
10_35,10,locpc,True,"['5', '2']","['0', '2', '9']",693
10_35,10,pc,True,"['5', '2']","['0', '2', '9']",1174
10_36,10,locpc,True,"['8', '1', '9', '7']","['1', '7', '8', '9']",133
10_36,10,pc,True,"['8', '9', '7', '1']","['1', '7', '8', '9']",231
10_37,10,locpc,True,"['0', '1', '4', '9']","['0', '1', '4', '9']",64
10_37,10,pc,True,"['0', '1', '4', '9']","['0', '1', '4', '9']",122
10_38,10,locpc,True,"['9', '0', '5', '3']","['0', '3', '9']",187
10_38,10,pc,True,"['3', '9', '5', '0']","['0', '3', '9']",363
10_39,10,locpc,True,"['5', '6', '4', '9', '7']","['4', '6']",208
10_39,10,pc,True,"['5', '6', '4', '9', '7']","['4', '6']",321
10_40,10,locpc,True,"['2', '8', '3']","['2', '3', '8']",264
10_40,10,pc,True,"['3', '8', '2']","['2', '3', '8']",454
10_41,10,locpc,True,"['7', '4']","['4', '7']",30
10_41,10,pc,True,"['7', '4']","['4', '7']",125
10_42,10,locpc,True,"['8', '0']","['0', '8']",43
10_42,10,pc,True,"['0', '8']","['0', '8']",164
10_43,10,locpc,True,"['8', '4']","['4', '8']",188
10_43,10,pc,True,"['4', '8']","['4', '8']",294
10_44,10,locpc,False,,"['3', '9']",128
10_44,10,pc,False,,"['3', '9']",192
10_45,10,locpc,True,"['7', '4', '0']","['0', '4', '7']",627
10_45,10,pc,True,"['7', '4', '0']","['0', '4', '7']",742
10_46,10,locpc,True,"['3', '6']","['3', '6']",246
10_46,10,pc,True,"['3', '6']","['3', '6']",596
10_47,10,locpc,True,"['4', '6']","['4', '6']",60
10_47,10,pc,True,"['4', '6']","['4', '6']",413
10_48,10,locpc,True,"['9', '4']","['4', '9']",122
10_48,10,pc,True,"['4', '9']","['4', '9']",218
10_49,10,locpc,True,"['9', '5']","['5', '9']",35
10_49,10,pc,True,"['9', '5']","['5', '9']",122
10_50,10,locpc,True,"['7', '1']","['1', '7']",119
10_50,10,pc,True,"['7', '1']","['1', '7']",260
10_51,10,locpc,True,"['2', '1', '0']","['0', '1', '2']",72
10_51,10,pc,True,"['0', '2', '1']","['0', '1', '2']",156
10_52,10,locpc,True,"['1', '9']","['1', '9']",51
10_52,10,pc,True,"['1', '9']","['1', '9']",158
