experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
10_0,10,locpc,False,,['4'],402
10_0,10,pc,False,,['4'],771
10_1,10,locpc,True,[],"['0', '2']",83
10_1,10,pc,True,[],"['0', '2']",581
10_2,10,locpc,False,,['3'],509
10_2,10,pc,False,,['3'],747
10_3,10,locpc,True,"['4', '8', '5']","['4', '8']",271
10_3,10,pc,True,"['8', '5', '4']","['4', '8']",579
10_4,10,locpc,False,,"['3', '4', '6']",231
10_4,10,pc,False,,"['3', '4', '6']",381
10_5,10,locpc,True,[],"['0', '3', '7']",82
10_5,10,pc,True,"['3', '7']","['0', '3', '7']",567
10_6,10,locpc,True,"['8', '2']","['2', '7', '8']",272
10_6,10,pc,True,"['2', '8']","['2', '7', '8']",691
10_7,10,locpc,False,,['0'],370
10_7,10,pc,True,[],['0'],592
10_8,10,locpc,True,[],"['3', '5']",119
10_8,10,pc,True,"['3', '4', '7']","['3', '5']",980
10_9,10,locpc,False,,['7'],528
10_9,10,pc,True,[],['7'],816
10_10,10,locpc,False,,"['1', '8', '9']",85
10_10,10,pc,True,"['9', '1']","['1', '8', '9']",172
10_11,10,locpc,True,[],"['0', '1']",23
10_11,10,pc,True,"['3', '1']","['0', '1']",352
10_12,10,locpc,True,"['2', '6']","['0', '2', '6']",228
10_12,10,pc,True,"['6', '2', '9']","['0', '2', '6']",598
10_13,10,locpc,True,"['2', '4', '1']","['1', '2']",100
10_13,10,pc,True,"['4', '2', '1']","['1', '2']",221
10_14,10,locpc,False,,"['6', '8']",265
10_14,10,pc,True,[],"['6', '8']",528
10_15,10,locpc,True,"['0', '6']","['0', '9']",328
10_15,10,pc,True,"['0', '6']","['0', '9']",560
10_16,10,locpc,True,['7'],"['7', '9']",215
10_16,10,pc,True,['7'],"['7', '9']",409
10_17,10,locpc,False,,"['0', '3', '5']",285
10_17,10,pc,True,"['3', '0', '5']","['0', '3', '5']",608
10_18,10,locpc,False,,"['1', '3', '5']",276
10_18,10,pc,True,"['5', '3', '1']","['1', '3', '5']",477
10_19,10,locpc,True,"['6', '4', '0']","['0', '6']",142
10_19,10,pc,True,"['6', '0']","['0', '6']",272
10_20,10,locpc,False,,"['5', '7']",210
10_20,10,pc,False,,"['5', '7']",635
10_21,10,locpc,True,[],"['0', '5']",81
10_21,10,pc,True,[],"['0', '5']",910
10_22,10,locpc,True,"['0', '6']","['0', '5', '6']",1038
10_22,10,pc,True,['6'],"['0', '5', '6']",1344
10_23,10,locpc,False,,"['0', '5']",161
10_23,10,pc,False,,"['0', '5']",261
10_24,10,locpc,True,"['3', '0']","['0', '8', '9']",269
10_24,10,pc,True,"['3', '0']","['0', '8', '9']",503
10_25,10,locpc,False,,"['0', '2', '4']",129
10_25,10,pc,False,,"['0', '2', '4']",372
